scenario,forwarding,seed,pdr,latency_mean,latency_median,latency_p95,latency_std,convergence_mean,convergence_max,control_overhead,duplicate_overhead,total_overhead,duplicate_ratio,energy_mean,energy_total,recovery_ratio,recovery_time,forwarding_efficiency,fairness,total_messages,events_processed
Scenario 2: Partition,ai,43,0.8101364522417154,0.04265364861588567,0.004861249951698454,0.010411045457732724,0.43135714519428003,0.33580934862278633,10.757912159131877,85.99149190581309,5.841542494481236,91.83303440029434,0.8534038800705467,17.587913634799925,351.75827269599847,1.0,0.0,0.8964624676445211,0.988590450374549,135,45380
Scenario 3: Mobility,flood,42,1.0,0.007011014593933894,0.0032219822815591215,0.005034702062707198,0.0702180652882003,0.025761981895573428,2.8612429162116673,111.80777684164255,13.8843547382688,125.69213157991135,0.9327407560528151,26.075321242800005,521.5064248560001,1.0,0.0,0.9088687150837989,0.9996619897018251,137,86819
Scenario 3: Mobility,flood,43,1.0,0.003909951339090204,0.0031271883464398798,0.004787543702335739,0.019064551171283084,0.009018757786495687,0.5739193777338745,100.55063911617209,14.872459560348403,115.4230986765205,0.9369699690711364,22.78430112919984,455.68602258399676,1.0,0.0,0.9063845050215208,0.999491155082658,133,88795
Scenario 3: Mobility,heuristic,42,1.0,0.012043367854006566,0.004001961202419579,0.007239462244346836,0.10770296336922042,0.04044634793194821,2.662151502828463,92.48465003465003,8.601559251559252,101.08620928620928,0.8956320794029624,23.266528702000034,465.33057404000067,1.0,0.0,0.912856196156395,0.9995897612845279,145,70012
Scenario 3: Mobility,heuristic,43,1.0,0.005700961512982918,0.003948785763213891,0.006845120990736573,0.029080629455927466,0.025852720068239455,0.7985457691005848,104.0790018719879,9.12701636993667,113.20601824192457,0.9011479065158147,22.08631828879991,441.72636577599815,1.0,0.0,0.908883826879271,0.9997341594624579,126,73254
Scenario 3: Mobility,ai,42,1.0,0.012692905743219438,0.004569966840250572,0.008488764121773334,0.12573909460827812,0.03541094076869061,3.71702180452575,109.93606142794312,7.433587450520451,117.36964887846356,0.881244582325836,24.957069492400166,499.1413898480033,1.0,0.0,0.9107767669699091,0.99961479562481,137,70036
Scenario 3: Mobility,ai,43,1.0,0.007977520773660882,0.004326618238543745,0.008123985630895445,0.06346320715183665,0.06438666525185267,1.925318942928186,99.64288544634601,7.576277902522785,107.2191633488688,0.883263269737146,22.030415894000033,440.60831788000064,1.0,0.0,0.9093198992443325,0.9996351004843411,133,70025
Scenario 1: Static,adaptive,42,1.0,0.20443032820121934,0.006318581090418718,0.012546319535002222,2.891636709692901,0.5210679066055055,63.83340766299463,71.03815077705455,4.3534297411127145,75.39158051816727,0.8127790608160124,35.813433945600124,716.2686789120025,1.0,0.0,0.9144576048129348,0.9996744724543865,256,54606
Scenario 1: Static,adaptive,43,0.9752671151563118,0.573248143221559,0.0063850978179260665,0.018286711600285232,3.9964031014999963,3.5958652870466365,69.79539399402465,91.71463314580403,4.028158696671355,95.74279184247538,0.799373168349072,44.831959140800635,896.6391828160126,1.0,0.0,0.9415472779369628,0.9995088242142792,266,56432
Scenario 1: Static,adaptive,44,0.9969281179602704,0.16125091259958363,0.0072667808954989255,0.014991323374541203,2.107162548031883,1.12078298489535,68.07226112582913,74.99527889834418,3.758988251229351,78.75426714957354,0.7893096732309024,37.36596085960018,747.3192171920035,1.0,0.0,0.9162431771127423,0.9998086234218605,257,49858
Scenario 2: Partition,adaptive,42,0.8719683220590662,3.2599361134991285,0.006578190939976025,32.202861533439176,11.083336758421817,13.98755361990085,81.11438782624975,99.99726230114688,3.758906770255272,103.75616907140214,0.7854939524312038,51.77617080520032,1035.5234161040064,1.0,0.8420141353607278,0.9878504672897196,0.9868777166212881,319,54747
Scenario 2: Partition,adaptive,43,0.8947368421052632,5.195572456346048,0.007241736859349146,41.66467720190396,13.585553989035125,20.507907207159644,86.37532799946884,115.12462429032617,3.289212957809195,118.41383724813537,0.7574697173620457,57.98978951120066,1159.7957902240132,1.0,0.3132111912114612,1.1043922369765067,0.9902789806897057,318,55475
Scenario 2: Partition,adaptive,44,0.8977671451355662,6.088629265309193,0.007867890660449461,47.407312430643515,15.424095288335867,18.64717281931943,72.07507555894557,96.04918988638974,3.0859762884958566,99.1351661748856,0.7471589633023402,51.837163336000245,1036.7432667200048,1.0,3.64009200121231,1.0648883844116535,0.9884915210138719,330,50445
Scenario 3: Mobility,adaptive,42,1.0,0.023329247620503046,0.004680750857236404,0.008956132938275015,0.3222901662491719,0.12703556254001253,12.313837983993622,89.78239982744928,6.661388837145462,96.44378866459475,0.8693140600231065,42.908366963200905,858.1673392640181,1.0,0.0,0.9096689732560315,0.999779240119474,256,77446
Scenario 3: Mobility,adaptive,43,1.0,0.025532117744736186,0.004341309638846269,0.008393077607214739,0.35274125388656585,0.2638181245256215,11.886272660581795,100.9672338671691,7.620495760715968,108.58772962788507,0.883755944841431,45.95154864640158,919.0309729280316,1.0,0.0,0.9129129129129129,0.9998620559079291,256,86862
Scenario 3: Mobility,adaptive,44,1.0,0.05411803764431595,0.004689131161455862,0.009392917050895361,0.6813658116375162,0.3575189654533669,24.29737346788255,82.09398060920081,6.573009891662742,88.66699050086356,0.8676822633297062,39.168389555200676,783.3677911040136,1.0,0.0,0.9129129129129129,0.9997944501541624,256,74502
